rank,word,tfidf_score
1,comme,0.08703633363880216
2,meme,0.04516386059763093
3,vie,0.0447972378547336
4,yeah,0.03839086272601306
5,rien,0.03690713185956775
6,temps,0.03409153578149368
7,etre,0.03269397940364796
8,aime,0.028265710305786094
9,monde,0.028192350420801048
10,tete,0.02800436112614984
11,passe,0.025759902421289886
12,rap,0.024875895215746277
13,gros,0.024868300821414457
14,deux,0.02475339607948299
15,cœur,0.023445836789891383
16,hey,0.02302752446585593
17,laisse,0.022612242822311227
18,parle,0.02244067727513989
19,juste,0.021952092438869263
20,etait,0.021462634325758748
21,fois,0.02132783540186316
22,vu,0.021273326476618202
23,reste,0.02098209409128001
24,seul,0.020434633373948994
25,mort,0.02032563909052757
26,sens,0.019869346015220862
27,etais,0.019321657079921072
28,jour,0.01897152660709789
29,amour,0.018912327533496916
30,pourquoi,0.018602829209774106
