year,mean_chars,mean_words
1990,3030.5238095238096,557.4761904761905
1991,2680.8823529411766,479.1470588235294
1992,3243.1,562.7
1993,2986.0196078431372,536.7058823529412
1994,2796.6216216216217,508.81081081081084
1995,3104.5755395683454,565.0719424460432
1996,2895.0089285714284,532.0803571428571
1997,3272.867924528302,587.5566037735849
1998,3392.3636363636365,608.4827586206897
1999,3546.5375494071145,635.7628458498024
2000,3360.5591836734693,604.6775510204081
2001,3356.0,600.8270440251572
2002,3200.646884272997,565.6765578635014
2003,3285.276712328767,585.6739726027397
2004,2907.2190476190476,519.327619047619
2005,3300.388415672913,590.3747870528109
2006,3152.08524173028,566.2061068702291
2007,3070.8169868554096,551.169868554095
2008,3118.818537859008,558.9699738903395
2009,3097.392,554.5093333333333
2010,2894.36638452237,519.4207980652963
2011,2972.392749244713,533.0135951661631
2012,3028.4865350089767,539.870736086176
2013,2865.0900243309,509.8963503649635
2014,2835.8606766096764,507.26264096034924
2015,2764.1182201158504,493.4312796208531
2016,2665.556894243641,478.57072735385987
2017,2532.4779759737894,455.9601383327266
2018,2481.0661976335145,446.8058842340902
2019,2405.328753106271,433.4484724455489
2020,2364.8177570093458,424.33878504672896
2021,2358.6999258160236,423.33308605341244
2022,2293.1417322834645,409.6202400929392
2023,2240.6012486427794,402.47204125950054
2024,2198.905545112782,392.91306390977445
