doc_id,source_row_index,artist,title,year,word_count,obscenity,violence,sexism,stigmatization,raw_response,attempts
1,0,Dry,94310,2012.0,673,8.0,8.0,0.0,6.0,"Obscenity: 8
Violence: 8
Sexism: 0
Stigmatization: 6",1
2,1,Mafia K’1 Fry,Au bon vieux temps,2007.0,837,8.0,2.0,0.0,0.0,"Obscenity: 8
Violence: 2
Sexism: 0
Stigmatization: 0",1
3,2,DJ Hamida,Attrape-Moi Si Tu Peux,,306,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
4,3,Kery James,94 c’est le Barça Remix,,481,8.0,6.0,0.0,2.0,"Obscenity: 8
Violence: 6
Sexism: 0
Stigmatization: 2",1
5,4,Dry,14 ans déjà,2013.0,576,4.0,6.0,0.0,0.0,"Obscenity: 4
Violence: 6
Sexism: 0
Stigmatization: 0",1
6,5,Lynda,A ma place,2014.0,496,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
7,6,Dry,Atlantis #2,2020.0,291,8.0,7.0,4.0,5.0,"Obscenity: 8
Violence: 7
Sexism: 4
Stigmatization: 5",1
8,7,Sexion d’Assaut,Assez,2012.0,610,0.0,4.0,0.0,2.0,"Obscenity: 0
Violence: 4
Sexism: 0
Stigmatization: 2",1
9,8,Karlito,A la kiss,,530,8.0,4.0,2.0,4.0,"Obscenity: 8
Violence: 4
Sexism: 2
Stigmatization: 4",1
10,9,Intouchable,À L’ancienne,,1254,7.0,2.0,0.0,2.0,"Obscenity: 7
Violence: 2
Sexism: 0
Stigmatization: 2",1
11,10,Kalash,SO COMAN,2024.0,365,8.0,0.0,8.0,6.0,"Obscenity: 8
Violence: 0
Sexism: 8
Stigmatization: 6",1
12,11,Jungeli,T’étais où ?,2024.0,502,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
13,12,PLK,***** (Pt. 3),2023.0,94,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
14,13,PLK,Ça fait longtemps,2024.0,507,8.0,6.0,2.0,4.0,"Obscenity: 8
Violence: 6
Sexism: 2
Stigmatization: 4",1
15,14,PLK,Onana,2024.0,443,8.0,4.0,2.0,2.0,"Obscenity: 8
Violence: 4
Sexism: 2
Stigmatization: 2",1
16,15,PLK,La vraie vie,2024.0,507,9.0,4.0,0.0,2.0,"Obscenity: 9
Violence: 4
Sexism: 0
Stigmatization: 2",1
17,16,PLK,Interlude ****** (Pt. 3),2024.0,118,2.0,3.0,0.0,4.0,"Obscenity: 2
Violence: 3
Sexism: 0
Stigmatization: 4",1
18,17,PLK,Chouchou,2024.0,437,2.0,0.0,2.0,2.0,"Obscenity: 2
Violence: 0
Sexism: 2
Stigmatization: 2",1
19,18,PLK,1€ / 1Eu,2024.0,480,3.0,5.0,0.0,2.0,"Obscenity: 3
Violence: 5
Sexism: 0
Stigmatization: 2",1
20,19,PLK,Une pêche une patate,2024.0,491,8.0,4.0,4.0,3.0,"Obscenity: 8
Violence: 4
Sexism: 4
Stigmatization: 3",1
21,20,Ruff,AIGRI DOUX,2024.0,387,8.0,4.0,7.0,2.0,"Obscenity: 8
Violence: 4
Sexism: 7
Stigmatization: 2",1
22,21,Ruff (FRA),DADDY,2024.0,453,8.0,0.0,4.0,0.0,"Obscenity: 8
Violence: 0
Sexism: 4
Stigmatization: 0",1
23,22,Ruff (FRA),OG RANIUM,2024.0,247,9.0,2.0,2.0,2.0,"Obscenity: 9
Violence: 2
Sexism: 2
Stigmatization: 2",1
24,23,Ruff (FRA),ADIBOU,2024.0,248,8.0,3.0,3.0,3.0,"Obscenity: 8
Violence: 3
Sexism: 3
Stigmatization: 3",1
25,24,Ruff (FRA),MEMORYCARD,2024.0,256,7.0,4.0,0.0,2.0,"Obscenity: 7
Violence: 4
Sexism: 0
Stigmatization: 2",1
26,25,Ruff (FRA),CALIMERO,,416,4.0,6.0,2.0,4.0,"Obscenity: 4
Violence: 6
Sexism: 2
Stigmatization: 4",1
27,26,Ruff (FRA),TANT PIS,2024.0,385,8.0,4.0,4.0,2.0,"Obscenity: 8
Violence: 4
Sexism: 4
Stigmatization: 2",1
28,27,Gemen,GoneSouth #1 - BIENVENUE À LYON,2024.0,431,6.0,4.0,0.0,4.0,"Obscenity: 6
Violence: 4
Sexism: 0
Stigmatization: 4",1
29,28,Kohndo,Un Idéal,2006.0,579,0.0,7.0,0.0,7.0,"Obscenity: 0
Violence: 7
Sexism: 0
Stigmatization: 7",1
30,29,Rim’K,Jour de pluie,2024.0,546,7.0,6.0,0.0,3.0,"Obscenity: 7
Violence: 6
Sexism: 0
Stigmatization: 3",1
31,30,Suzuya,Chagrin & Démon,2023.0,615,0.0,8.0,0.0,0.0,"Obscenity: 0
Violence: 8
Sexism: 0
Stigmatization: 0",1
32,31,CHAM rapper,Scénario,2024.0,685,8.0,6.0,6.0,4.0,"Obscenity: 8
Violence: 6
Sexism: 6
Stigmatization: 4",1
33,32,Psy 4 de la Rime,Le goût de la honte,2008.0,901,8.0,8.0,2.0,8.0,"Obscenity: 8
Violence: 8
Sexism: 2
Stigmatization: 8",1
34,33,Marjinal (FRA),No Love,2024.0,433,6.0,2.0,2.0,0.0,"Obscenity: 6
Violence: 2
Sexism: 2
Stigmatization: 0",1
35,34,Sultan,J.D.2,2023.0,492,9.0,8.0,4.0,8.0,"Obscenity: 9
Violence: 8
Sexism: 4
Stigmatization: 8",1
36,35,HeyMikey! (FRA),Pour mes blud,2023.0,524,9.0,7.0,8.0,6.0,"Obscenity: 9
Violence: 7
Sexism: 8
Stigmatization: 6",1
37,36,VVES,Solide,2024.0,251,0.0,2.0,2.0,0.0,"Obscenity: 0
Violence: 2
Sexism: 2
Stigmatization: 0",1
38,37,VVES,Fin de vie,2024.0,445,9.0,6.0,0.0,0.0,"Obscenity: 9
Violence: 6
Sexism: 0
Stigmatization: 0",1
39,38,Yanns,Je t’aime,2024.0,336,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
40,39,Kasper 939,Pink Pain,2023.0,199,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
41,40,El Matador,Tapage Nocturne (version 2008),2008.0,674,8.0,8.0,2.0,4.0,"Obscenity: 8
Violence: 8
Sexism: 2
Stigmatization: 4",1
42,41,Wejdene,Promets moi,2024.0,274,0.0,0.0,0.0,0.0,Obscenity: 0 Violence: 0 Sexism: 0 Stigmatization: 0,1
43,42,Wejdene,Comme avant,2024.0,379,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
44,43,Wejdene,Danger Love,2024.0,445,0.0,0.0,0.0,2.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 2 (toxique)",1
45,44,Wejdene,ASAP,2024.0,127,0.0,0.0,0.0,0.0,"Obscenity: 0
Violence: 0
Sexism: 0
Stigmatization: 0",1
46,45,Ninho,3 MAI 2025,2024.0,294,8.0,2.0,2.0,2.0,"Obscenity: 8
Violence: 2
Sexism: 2
Stigmatization: 2",1
47,46,VII,Squelette,2024.0,271,8.0,6.0,2.0,4.0,"Obscenity: 8
Violence: 6
Sexism: 2
Stigmatization: 4",1
48,47,TiBab,20K,2023.0,773,8.0,7.0,2.0,2.0,"Obscenity: 8
Violence: 7
Sexism: 2
Stigmatization: 2",1
49,48,25G,Chevrotine 2,2023.0,80,0.0,6.0,2.0,2.0,"Obscenity: 0
Violence: 6
Sexism: 2
Stigmatization: 2",1
50,49,La Hasba22,Freestyle COPS,2024.0,363,8.0,7.0,0.0,2.0,"Obscenity: 8
Violence: 7
Sexism: 0
Stigmatization: 2",1
