pos_tag,count,percentage
NOUN,7793422,16.12920062935452
PRON,7552619,15.630836765681998
VERB,6627455,13.716125131812287
DET,5908807,12.228817274765106
PUNCT,4625373,9.572633061907776
ADP,4454756,9.219525553578498
ADV,2575149,5.329506713672335
AUX,1759821,3.642110741693611
ADJ,1536522,3.1799730092143186
PROPN,1407971,2.9139249407144794
X,1265600,2.619275116439362
SCONJ,1089319,2.254445441343718
CCONJ,855570,1.7706804767478075
INTJ,523012,1.0824212367250186
NUM,302177,0.6253829779237493
SYM,41139,0.08514092842541002
