word,frequency
comme,278046
mme,107415
vie,106831
rien,82879
yeah,73182
ya,68251
temps,55583
tte,52403
o,48862
gros,43086
deux,42492
monde,40922
hey,38597
cur,37725
vu,36927
juste,36688
rap,34283
fois,34118
seul,32444
mort,32172
tre,31988
quil,31829
jen,30818
jour,28899
personne,28815
parle,28613
pourquoi,28223
dj,28061
vrai,27372
nan,27209
mre,27093
paroles,26902
sens,26337
yeux,26207
gens,25878
reste,25332
merde,25253
fuck,25245
soir,25201
comment,25094
nest,24807
passe,24417
gars,24391
chaque,24217
nuit,24135
couplet,23980
font,23909
laisse,23747
putain,23487
besoin,22947
parce,22225
aprs,22216
veulent,22191
part,21917
jaime,21900
refrain,21675
quun,21552
rue,21470
peur,21426
vite,21379
jtais,21356
puis,21256
ville,20987
coup,20925
han,20694
na,20519
sale,20194
qutu,20167
jvois,20075
petit,20000
ouh,19931
mec,19789
ngro,19745
fond,19686
fils,19289
jours,18691
trs,18607
frre,18330
noir,18289
plein,18273
bas,18042
2,18033
pris,18031
bitch,17976
terre,17793
baby,17511
connais,17443
dtre,17359
bb,17136
vas,17068
vient,16658
sang,16319
fort,16261
dieu,16018
belle,15937
pute,15917
frres,15723
jles,15519
guerre,15505
parler,15494
place,15424
peine,15309
sen,15271
men,15245
lamour,15207
demande,15051
gang,14973
couilles,14884
pense,14841
mis,14756
tard,14626
rves,14552
perdu,14364
pass,14339
ciel,14184
grand,14144
fou,14142
qua,14130
haine,14080
gueule,14013
ans,13968
main,13886
face,13883
regarde,13881
go,13781
up,13726
jcrois,13658
nique,13601
corps,13510
the,13480
ok,13408
shit,13387
javais,13343
i,13317
estce,13234
sest,13206
choses,13138
jarrive,13112
ten,13091
fume,13083
fin,13074
rve,12974
cash,12713
mmes,12679
flow,12629
tait,12611
porte,12516
coups,12458
lair,12427
1,12416
dismoi,12393
poto,12375
billets,12367
love,12310
trois,12247
questce,12235
bonne,12216
yo,12181
tour,12116
largent,12071
jmen,12053
ptit,11853
x2,11781
mots,11720
fini,11698
compte,11673
dur,11652
quune,11635
mains,11584
paris,11581
maman,11540
ltemps,11458
sort,11436
musique,11396
famille,11318
force,11267
faux,11238
mauvais,11234
jeune,11162
my,11145
pire,11086
baise,11071
chaud,11041
passer,10943
finir,10928
bang,10918
sr,10906
potes,10852
beau,10811
you,10768
vide,10702
jpense,10650
feu,10610
perdre,10596
bout,10507
envie,10500
combien,10487
lheure,10398
no,10374
aujourdhui,10349
