word,frequency
comme,63554
mme,26743
vie,25542
rien,20112
ya,15872
o,14934
rap,14445
temps,12276
monde,11217
tte,11056
gros,10361
vu,9133
quil,9053
tre,8920
juste,8411
deux,8206
couplet,7722
jour,7561
mec,7356
merde,7283
nest,7260
chaque,7086
mort,7060
seul,7017
reste,7011
gens,6995
gars,6959
fois,6823
parce,6795
jen,6772
parle,6769
dj,6437
mre,6398
rue,6380
cur,6379
quun,6315
laisse,6303
personne,6240
putain,6223
passe,6179
puis,6069
vite,5973
yeah,5965
font,5956
pourquoi,5937
vrai,5726
part,5706
coup,5684
veulent,5677
refrain,5640
