word,frequency,pos_tag
tout,173201,ADJ
gros,49927,ADJ
seul,44523,ADJ
bon,39648,ADJ
même,38306,ADJ
beau,33393,ADJ
vrai,30198,ADJ
petit,30111,ADJ
grand,22752,ADJ
nouveau,16179,ADJ
mauvais,16170,ADJ
plein,16048,ADJ
noir,15898,ADJ
premier,15566,ADJ
sale,14964,ADJ
dur,14529,ADJ
autre,13830,ADJ
dernier,12968,ADJ
sûr,12031,ADJ
jeune,11843,ADJ
fou,11481,ADJ
prêt,11376,ADJ
chaud,11369,ADJ
fort,10028,ADJ
faux,9692,ADJ
grave,9503,ADJ
meilleur,9206,ADJ
long,8883,ADJ
triste,7844,ADJ
haut,7702,ADJ
facile,7318,ADJ
vieux,7310,ADJ
blanc,7107,ADJ
rouge,6423,ADJ
fier,6322,ADJ
bas,6229,ADJ
normal,6223,ADJ
vide,5768,ADJ
pire,5726,ADJ
sombre,5635,ADJ
froid,5495,ADJ
droit,5244,ADJ
mort,5190,ADJ
cool,5095,ADJ
libre,5041,ADJ
doux,4839,ADJ
propre,4802,ADJ
simple,4577,ADJ
vert,4541,ADJ
riche,4514,ADJ
tel,4494,ADJ
joli,4479,ADJ
pareil,4437,ADJ
français,4417,ADJ
clair,4304,ADJ
frais,4269,ADJ
pur,4253,ADJ
tranquille,4124,ADJ
heureux,4051,ADJ
cher,3988,ADJ
bizarre,3985,ADJ
lourd,3899,ADJ
solo,3689,ADJ
méchant,3682,ADJ
bleu,3519,ADJ
sec,3454,ADJ
rare,3331,ADJ
prochain,3312,ADJ
carré,3213,ADJ
impossible,3197,ADJ
humain,3179,ADJ
tit,3095,ADJ
dangereux,3074,ADJ
double,3067,ADJ
ancien,3044,ADJ
content,3000,ADJ
malade,2962,ADJ
négro,2876,ADJ
bête,2857,ADJ
réel,2844,ADJ
violent,2774,ADJ
court,2762,ADJ
pauvre,2635,ADJ
différent,2551,ADJ
parfait,2432,ADJ
difficile,2417,ADJ
gentil,2386,ADJ
entier,2334,ADJ
calme,2322,ADJ
quitte,2314,ADJ
honnête,2313,ADJ
neuf,2308,ADJ
solide,2304,ADJ
magique,2274,ADJ
sérieux,2255,ADJ
possible,2145,ADJ
proche,2133,ADJ
deuxième,2117,ADJ
sien,2081,ADJ
fidèle,2063,ADJ
