word,frequency,pos_tag
pas,684089,ADV
ne,226968,ADV
plus,196852,ADV
trop,105799,ADV
même,80672,ADV
là,76453,ADV
bien,74903,ADV
jamais,60252,ADV
toujours,55265,ADV
que,49977,ADV
donc,41619,ADV
non,39719,ADV
juste,35459,ADV
encore,33970,ADV
tout,32002,ADV
ici,31963,ADV
pourquoi,28021,ADV
loin,26820,ADV
comment,25006,ADV
maintenant,23339,ADV
parce,21959,ADV
alors,21798,ADV
déjà,21261,ADV
mieux,20689,ADV
beaucoup,20395,ADV
tant,19823,ADV
vite,19557,ADV
très,18438,ADV
mal,17286,ADV
tellement,16847,ADV
moins,16125,ADV
peu,16012,ADV
avant,15663,ADV
aussi,14929,ADV
tard,14622,ADV
demain,13755,ADV
si,13067,ADV
souvent,11731,ADV
vraiment,10766,ADV
combien,10478,ADV
pourtant,10428,ADV
plein,9850,ADV
assez,8909,ADV
parfois,7959,ADV
bientôt,7824,ADV
fort,7611,ADV
partout,7346,ADV
longtemps,7008,ADV
où,6923,ADV
hier,6876,ADV
près,6641,ADV
autour,6430,ADV
dehors,6335,ADV
autant,6196,ADV
après,6186,ADV
ailleurs,5971,ADV
ensemble,5611,ADV
tôt,5556,ADV
seulement,5463,ADV
dedans,4797,ADV
plutôt,4780,ADV
surtout,4560,ADV
dessus,3870,ADV
sinon,3667,ADV
depuis,3588,ADV
enfin,3508,ADV
marre,3392,ADV
doucement,3254,ADV
sûrement,3134,ADV
pis,3028,ADV
ainsi,2902,ADV
debout,2552,ADV
presque,2484,ADV
devant,1932,ADV
évidemment,1802,ADV
hors,1754,ADV
pire,1650,ADV
complètement,1576,ADV
ensuite,1545,ADV
heureusement,1543,ADV
toute,1484,ADV
franchement,1474,ADV
forcément,1255,ADV
afin,1151,ADV
simplement,1107,ADV
rarement,1104,ADV
désormais,1057,ADV
derrière,1015,ADV
autrement,1002,ADV
ci,995,ADV
super,871,ADV
bêtement,855,ADV
apparemment,843,ADV
lentement,842,ADV
pe,809,ADV
lors,800,ADV
malheureusement,800,ADV
surement,790,ADV
finalement,737,ADV
exprès,727,ADV
