word,frequency
comme,181293
mme,66751
vie,66394
yeah,63424
rien,51667
ya,43719
temps,36368
tte,35585
hey,32548
deux,30182
gros,28826
cur,28067
o,26759
juste,24012
vu,23323
fois,23307
monde,22847
nan,22158
seul,21482
paroles,21475
mort,21202
jen,20702
personne,19129
vrai,18764
pourquoi,18635
fuck,18628
sens,18468
ouh,18347
dj,18283
parle,18214
tre,17988
han,17924
soir,17726
quil,17642
yeux,17573
mre,17523
nuit,17031
jour,16972
comment,16595
jtais,15979
jvois,15530
jaime,15364
ville,15165
gens,15135
besoin,15066
bitch,15010
passe,14828
font,14690
baby,14641
merde,14621
