word,frequency,pos_tag
vie,113818,NOUN
temps,68887,NOUN
tête,57233,NOUN
monde,51419,NOUN
jour,48344,NOUN
cœur,39781,NOUN
rap,35259,NOUN
fois,35207,NOUN
mal,34064,NOUN
frère,33889,NOUN
œil,33060,NOUN
coup,32065,NOUN
mère,30673,NOUN
parole,29708,NOUN
amour,29508,NOUN
soir,29351,NOUN
heure,27768,NOUN
nuit,27574,NOUN
gens,26432,NOUN
main,25745,NOUN
couplet,25459,NOUN
son,25283,NOUN
rue,24793,NOUN
chose,24170,NOUN
mort,24151,NOUN
merde,23892,NOUN
pute,23598,NOUN
gars,23519,NOUN
peu,23488,NOUN
besoin,23238,NOUN
peur,22705,NOUN
homme,22626,NOUN
putain,22556,NOUN
ville,22158,NOUN
refrain,22060,NOUN
rêve,21993,NOUN
fond,21301,NOUN
fils,19644,NOUN
négro,19420,NOUN
pote,18918,NOUN
peine,18661,NOUN
terre,18627,NOUN
argent,18537,NOUN
sang,18197,NOUN
air,18051,NOUN
ciel,17285,NOUN
histoire,17225,NOUN
tour,16780,NOUN
guerre,16698,NOUN
mec,16340,NOUN
billet,16317,NOUN
couille,16301,NOUN
part,16169,NOUN
an,15346,NOUN
mot,15342,NOUN
place,15283,NOUN
balle,15047,NOUN
ami,14854,NOUN
année,14808,NOUN
femme,14632,NOUN
bébé,14589,NOUN
haine,14362,NOUN
truc,13957,NOUN
sens,13952,NOUN
gueule,13754,NOUN
corps,13725,NOUN
face,13652,NOUN
fin,13502,NOUN
problème,13253,NOUN
pied,13074,NOUN
feu,13044,NOUN
côté,12698,NOUN
envie,12543,NOUN
famille,12519,NOUN
fille,12465,NOUN
équipe,12438,NOUN
poto,11961,NOUN
âme,11742,NOUN
bas,11695,NOUN
musique,11616,NOUN
force,11588,NOUN
gang,11499,NOUN
sou,11481,NOUN
meuf,11266,NOUN
quartier,11251,NOUN
flow,11225,NOUN
porte,11168,NOUN
arme,11147,NOUN
cul,11104,NOUN
or,11097,NOUN
cash,11081,NOUN
fou,10931,NOUN
enfant,10811,NOUN
rappeur,10746,NOUN
larme,10727,NOUN
noir,10669,NOUN
bras,10656,NOUN
dos,10627,NOUN
bitch,10615,NOUN
soleil,10508,NOUN
