word,frequency,pos_tag
yeah,17329,PROPN
dieu,14435,PROPN
paris,11128,PROPN
hey,10804,PROPN
france,9414,PROPN
fuck,7536,PROPN
nan,6800,PROPN
han,6668,PROPN
baby,5723,PROPN
paname,4975,PROPN
maman,4892,PROPN
gros,4641,PROPN
mc,4636,PROPN
négro,4060,PROPN
jack,3943,PROPN
gucci,3633,PROPN
wesh,3619,PROPN
marseille,3538,PROPN
afrique,2869,PROPN
poto,2765,PROPN
bitch,2750,PROPN
black,2729,PROPN
tony,2653,PROPN
yo,2626,PROPN
papa,2567,PROPN
ouh,2396,PROPN
gang,2288,PROPN
mec,2241,PROPN
mama,2197,PROPN
bébé,2171,PROPN
bang,2119,PROPN
rap,2058,PROPN
audi,1904,PROPN
nike,1826,PROPN
louis,1748,PROPN
okay,1654,PROPN
merde,1648,PROPN
asdlfjéadlhfgdkfjhgdfshkgjhdsfhgkldfsjhgdfgjdfkshgksdfjg,1622,PROPN
big,1621,PROPN
pah,1615,PROPN
glock,1570,PROPN
porsche,1567,PROPN
pont,1545,PROPN
frérot,1479,PROPN
belek,1459,PROPN
air,1440,PROPN
yah,1406,PROPN
benz,1393,PROPN
john,1385,PROPN
street,1367,PROPN
igo,1350,PROPN
johnny,1316,PROPN
chérie,1286,PROPN
alpha,1283,PROPN
jean,1274,PROPN
boy,1272,PROPN
james,1258,PROPN
ben,1244,PROPN
og,1227,PROPN
montana,1223,PROPN
bac,1196,PROPN
dior,1174,PROPN
ouais,1170,PROPN
noël,1143,PROPN
brr,1137,PROPN
joe,1136,PROPN
rolex,1120,PROPN
diable,1115,PROPN
kalash,1105,PROPN
merco,1101,PROPN
max,1100,PROPN
hé,1099,PROPN
mac,1094,PROPN
michael,1079,PROPN
gims,1073,PROPN
pablo,1072,PROPN
king,1059,PROPN
wow,1047,PROPN
uzi,1044,PROPN
prada,1038,PROPN
sheitan,1021,PROPN
shawty,1009,PROPN
el,1002,PROPN
check,996,PROPN
sacem,994,PROPN
mister,989,PROPN
ok,986,PROPN
jul,984,PROPN
aïe,980,PROPN
don,961,PROPN
vip,948,PROPN
allô,926,PROPN
clio,922,PROPN
allah,913,PROPN
espagne,911,PROPN
hennessy,905,PROPN
wouh,901,PROPN
jacques,886,PROPN
ali,881,PROPN
new,867,PROPN
