word,frequency,pos_tag
avoir,534939,VERB
faire,417141,VERB
vouloir,202745,VERB
aller,201998,VERB
être,184335,VERB
dire,165032,VERB
voir,152147,VERB
savoir,138762,VERB
falloir,118570,VERB
pouvoir,110711,VERB
prendre,87637,VERB
aimer,85177,VERB
parler,76161,VERB
venir,70802,VERB
mettre,63466,VERB
passer,58477,VERB
croire,54403,VERB
laisser,53930,VERB
connaître,49074,VERB
rester,48918,VERB
perdre,43539,VERB
penser,42781,VERB
donner,41602,VERB
sortir,41345,VERB
finir,38237,VERB
devoir,36095,VERB
partir,34383,VERB
arriver,32970,VERB
attendre,32935,VERB
sentir,28878,VERB
devenir,27979,VERB
arrêter,27129,VERB
regarder,27051,VERB
oublier,26747,VERB
vivre,25723,VERB
trouver,25019,VERB
fumer,24800,VERB
changer,24068,VERB
écouter,23028,VERB
appeler,22765,VERB
rentrer,22183,VERB
demander,21876,VERB
rendre,21623,VERB
tomber,21597,VERB
tourner,21571,VERB
jouer,21302,VERB
mourir,21294,VERB
entendre,21222,VERB
comprendre,20237,VERB
tirer,19699,VERB
baiser,19174,VERB
péter,19070,VERB
écrire,18263,VERB
rouler,18107,VERB
rêver,18090,VERB
compter,17729,VERB
payer,17582,VERB
chercher,17352,VERB
vendre,16772,VERB
rapper,15857,VERB
poser,15785,VERB
battre,15585,VERB
essayer,14887,VERB
casser,14056,VERB
niquer,13929,VERB
tuer,13797,VERB
danser,13757,VERB
lever,13687,VERB
revenir,13534,VERB
monter,13301,VERB
toucher,13233,VERB
dormir,12850,VERB
envoyer,12696,VERB
marcher,12677,VERB
quitter,12639,VERB
tenir,12535,VERB
porter,11977,VERB
ouvrir,11811,VERB
garder,11643,VERB
préférer,11425,VERB
remplir,11412,VERB
cacher,11240,VERB
ramener,11222,VERB
bouger,11184,VERB
taper,11030,VERB
servir,10998,VERB
pleurer,10996,VERB
avancer,10827,VERB
manger,10752,VERB
apprendre,10729,VERB
grandir,10615,VERB
inquiéter,10469,VERB
lâcher,10296,VERB
viser,9728,VERB
rappeler,9587,VERB
crier,9423,VERB
chanter,9361,VERB
pousser,9345,VERB
allumer,9260,VERB
fermer,9172,VERB
